,Country,Confirmed,Active,Recovered,Deaths
0,Afghanistan,11180,9860,1097,223
1,Albania,1004,177,795,32
2,Algeria,8503,3147,4747,609
3,Andorra,763,49,663,51
4,Angola,70,48,18,4
5,Antigua and Barbuda,25,3,19,3
6,Argentina,12628,8162,3999,467
7,Armenia,7113,3881,3145,87
8,Australia,7126,472,6552,102
9,Austria,16539,760,15138,641
10,Azerbaijan,4271,1479,2741,51
11,Bahamas,100,43,46,11
12,Bahrain,9171,4404,4753,14
13,Bangladesh,35585,27750,7334,501
14,Barbados,92,14,71,7
15,Belarus,37144,22491,14449,204
16,Belgium,57342,32733,15297,9312
17,Belize,18,0,16,2
18,Benin,191,104,84,3
19,Bhutan,27,21,6,0
20,Bolivia,6660,5752,647,261
21,Bosnia and Herzegovina,2406,564,1696,146
22,Botswana,35,15,19,1
23,Brazil,374898,351425,153833,23473
24,Brunei,141,3,137,1
25,Bulgaria,2433,1441,862,130
26,Burkina Faso,832,108,672,52
27,Burma,203,74,123,6
28,Burundi,42,21,20,1
29,Cabo Verde,390,232,155,3
30,Cambodia,124,2,122,0
31,Cameroon,4890,2860,1865,165
32,Canada,87697,35626,44651,7420
33,Central African Republic,652,629,22,1
34,Chad,687,382,244,61
35,Chile,73997,73236,29302,761
36,China,84102,112,79352,4638
37,Colombia,21981,15966,5265,750
38,Comoros,87,65,21,1
39,Congo (Brazzaville),487,324,147,16
40,Congo (Kinshasa),2297,1893,337,67
41,Costa Rica,951,313,628,10
42,Cote d'Ivoire,2423,1136,1257,30
43,Croatia,2244,109,2035,100
44,Cuba,1947,161,1704,82
45,Cyprus,935,324,594,17
46,Czechia,9002,2503,6182,317
47,Denmark,11586,861,10162,563
48,Diamond Princess,712,48,651,13
49,Djibouti,2468,1375,1079,14
50,Dominica,16,0,16,0
51,Dominican Republic,15073,6328,8285,460
52,Ecuador,37355,16149,18003,3203
53,Egypt,17967,12284,4900,783
54,El Salvador,1983,1176,772,35
55,Equatorial Guinea,1043,866,165,12
56,Eritrea,39,0,39,0
57,Estonia,1824,221,1538,65
58,Eswatini,256,96,158,2
59,Ethiopia,655,491,159,5
60,Fiji,18,3,15,0
61,Finland,6599,1191,5100,308
62,France,184584,90806,65317,28461
63,Gabon,2135,1559,562,14
64,Gambia,25,7,17,1
65,Georgia,731,193,526,12
66,Germany,180600,11092,161199,8309
67,Ghana,6808,4706,2070,32
68,Greece,2882,1336,1374,172
69,Grenada,23,5,18,0
70,Guatemala,3760,3427,274,59
71,Guinea,3275,1582,1673,20
72,Guinea-Bissau,1178,1129,42,7
73,Guyana,137,64,62,11
74,Haiti,865,817,22,26
75,Holy See,12,10,2,0
76,Honduras,4189,3534,473,182
77,Hungary,3756,1554,1711,491
78,Iceland,1804,3,1791,10
79,India,144950,80072,60706,4172
80,Indonesia,22750,15717,5642,1391
81,Iran,137724,22560,107713,7451
82,Iraq,4632,1658,2811,163
83,Ireland,24698,2032,21060,1606
84,Israel,16683,2147,14252,284
85,Italy,230158,55300,141981,32877
86,Jamaica,556,309,238,9
87,Japan,16581,2139,13612,830
88,Jordan,711,223,479,9
89,Kazakhstan,8969,4419,4515,35
90,Kenya,1286,832,402,52
91,Kiribati,0,0,0,0
92,"Korea, South",11225,681,10275,269
93,Kosovo,1038,217,791,30
94,Kuwait,21967,15181,6621,165
95,Kyrgyzstan,1433,425,992,16
96,Laos,19,5,14,0
97,Latvia,1049,315,712,22
98,Lebanon,1119,405,688,26
99,Lesotho,2,2,0,0
100,Liberia,265,98,141,26
101,Libya,75,32,40,3
102,Liechtenstein,83,27,55,1
103,Lithuania,1628,338,1241,49
104,Luxembourg,3993,102,3781,110
105,MS Zaandam,9,7,0,2
106,Madagascar,542,393,147,2
107,Malawi,101,64,33,4
108,Malaysia,7417,1324,5978,115
109,Maldives,1395,1236,155,4
110,Mali,1059,388,604,67
111,Malta,611,120,485,6
112,Mauritania,262,238,15,9
113,Mauritius,334,2,322,10
114,Mexico,71105,14020,49452,7633
115,Moldova,7147,3084,3802,261
116,Monaco,98,4,90,4
117,Mongolia,141,108,33,0
118,Montenegro,324,0,315,9
119,Morocco,7532,2558,4774,200
120,Mozambique,209,137,71,1
121,Namibia,21,7,14,0
122,Nepal,682,566,112,4
123,Netherlands,45647,39624,174,5849
124,New Zealand,1504,22,1461,21
125,Nicaragua,279,63,199,17
126,Niger,951,103,786,62
127,Nigeria,8068,5524,2311,233
128,North Macedonia,1999,447,1439,113
129,Norway,8364,402,7727,235
130,Oman,7770,5800,1933,37
131,Pakistan,56349,37700,17482,1167
132,Palau,0,0,0,0
133,Panama,11183,4594,6279,310
134,Papua New Guinea,8,0,8,0
135,Paraguay,865,510,344,11
136,Peru,123979,55814,50949,17216
137,Philippines,14319,10123,3323,873
138,Poland,21631,11348,9276,1007
139,Portugal,30788,11636,17822,1330
140,Qatar,45465,35076,10363,26
141,Romania,18283,5448,11630,1205
142,Russia,353427,230996,118798,3633
143,Rwanda,336,98,238,0
144,Saint Kitts and Nevis,15,0,15,0
145,Saint Lucia,18,0,18,0
146,Saint Vincent and the Grenadines,18,4,14,0
147,Samoa,0,0,0,0
148,San Marino,672,360,270,42
149,Sao Tome and Principe,299,284,4,11
150,Saudi Arabia,74795,28728,45668,399
151,Senegal,3130,1580,1515,35
152,Serbia,11193,5034,5920,239
153,Seychelles,11,0,11,0
154,Sierra Leone,735,400,293,42
155,Singapore,31960,16199,15738,23
156,Slovakia,1511,176,1307,28
157,Slovenia,1469,16,1346,107
158,Somalia,1689,1388,235,66
159,South Africa,23615,11217,11917,481
160,South Sudan,806,792,6,8
161,Spain,235400,208566,150376,26834
162,Sri Lanka,1182,477,695,10
163,Sudan,3826,3153,503,170
164,Summer Olympics 2020,0,0,0,0
165,Suriname,11,1,9,1
166,Sweden,33843,24843,4971,4029
167,Switzerland,30746,753,28200,1793
168,Syria,106,61,41,4
169,Taiwan*,441,19,415,7
170,Tajikistan,2929,1488,1395,46
171,Tanzania,509,305,183,21
172,Thailand,3042,57,2928,57
173,Timor-Leste,24,0,24,0
174,Togo,386,212,161,13
175,Tonga,0,0,0,0
176,Trinidad and Tobago,116,0,108,8
177,Tunisia,1051,84,919,48
178,Turkey,157814,33430,120015,4369
179,US,1663784,1565564,379157,98472
180,Uganda,222,153,69,0
181,Ukraine,21245,13388,7234,623
182,United Arab Emirates,30307,14402,15657,248
183,United Kingdom,262547,224393,1161,36996
184,Uruguay,787,136,629,22
185,Uzbekistan,3189,569,2607,13
186,Venezuela,1177,865,302,10
187,Vietnam,326,54,272,0
188,West Bank and Gaza,423,63,357,3
189,Yemen,233,179,10,44
190,Zambia,920,577,336,7
191,Zimbabwe,56,27,25,4
